iter	RMSE
0	14.51231531
1	14.02520185
2	13.58287334
3	13.19444875
4	12.76152183
5	12.34574392
6	12.02014616
7	11.67486602
8	11.36996726
9	11.06319121
10	10.7946782
11	10.51250804
12	10.2223687
13	9.966836064
14	9.697321039
15	9.463382771
16	9.238232091
17	9.026675546
18	8.812221117
19	8.633724887
20	8.450706851
21	8.280558054
22	8.103042806
23	7.946879824
24	7.805639771
25	7.66428575
26	7.531463634
27	7.401094114
28	7.284012072
29	7.183031238
30	7.083389206
31	6.984727831
32	6.895890794
33	6.80516038
34	6.730546844
35	6.656056538
36	6.577971273
37	6.517976897
38	6.446053266
39	6.385216456
40	6.327144697
41	6.267096019
42	6.224110614
43	6.170462365
44	6.118718878
45	6.078930572
46	6.039833704
47	6.005642207
48	5.972411156
49	5.943615297
50	5.907722539
51	5.875257439
52	5.84300753
53	5.818917019
54	5.790296317
55	5.759733592
56	5.73872386
57	5.716400383
58	5.690175648
59	5.672057837
60	5.650199018
61	5.629953339
62	5.612042027
63	5.594874056
64	5.574782737
65	5.559190698
66	5.547895694
67	5.528648635
68	5.51573295
69	5.502421064
70	5.491104829
71	5.480143883
72	5.468590919
73	5.459938332
74	5.449227659
75	5.437547796
76	5.425729449
77	5.410883701
78	5.404644007
79	5.395520376
80	5.386437503
81	5.378099126
82	5.36779281
83	5.363294914
84	5.356684061
85	5.344661335
86	5.337732351
87	5.329370548
88	5.323198651
89	5.31662233
90	5.309316336
91	5.303236834
92	5.298243365
93	5.290715284
94	5.282228165
95	5.273994586
96	5.265007691
97	5.261349126
98	5.254448265
99	5.246871327
