iter	Passed	Remaining
0	1	117
1	2	109
2	3	102
3	3	93
4	4	92
5	5	90
6	6	88
7	7	89
8	8	87
9	9	86
10	10	85
11	11	82
12	11	80
13	12	78
14	13	76
15	14	74
16	14	73
17	15	71
18	16	70
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	20	62
25	21	61
26	22	61
27	23	60
28	24	59
29	24	58
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	33	45
42	33	44
43	34	43
44	34	42
45	35	41
46	35	40
47	36	39
48	37	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	50	20
71	51	20
72	52	19
73	52	18
74	53	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	63	6
91	63	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
